Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U3,KoreanHropartsElecTYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,116.750000,-94.211500,0.000000,top
U7,TMC6300-LA-T,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,100.600000,-85.137500,180.000000,top
