Comment,Designator,Footprint,LCSC Part Number
KoreanHropartsElecTYPE-C-31-M-12,U3,USB-C_SMD-TYPE-C-31-M-12,C165948 
TMC6300-LA-T ,U7,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C5274455 
